block_quantity, block_size, variance (+ if calloc was slower)
2591, 2591, 0.000030
2601, 2601, -0.016830
2611, 2611, -0.009010
2621, 2621, 0.008460
2631, 2631, -0.001290
2641, 2641, -0.008630
2651, 2651, 0.007140
2661, 2661, 0.012320
2671, 2671, 0.001050
2681, 2681, 0.009630
2691, 2691, -0.003920
2701, 2701, -0.020220
2711, 2711, -0.006620
2721, 2721, 0.010640
2731, 2731, -0.006980
2741, 2741, -0.002880
2751, 2751, 0.014130
2761, 2761, 0.000810
2771, 2771, 0.001180
2781, 2781, 0.026360
2791, 2791, 0.028790
2801, 2801, 0.003130
2811, 2811, 0.020110
2821, 2821, 0.030080
2831, 2831, -0.000550
2841, 2841, 0.014790
2851, 2851, 0.024100
2861, 2861, 0.000780
2871, 2871, 0.007740
2881, 2881, 0.032440
2891, 2891, 0.004050
2901, 2901, 0.005260
2911, 2911, 0.037520
2921, 2921, 0.004210
2931, 2931, 0.009010
2941, 2941, 0.025610
2951, 2951, 0.028700
2961, 2961, 0.021960
2971, 2971, 0.034070
2981, 2981, 0.038460
2991, 2991, 0.018620
3001, 3001, 0.038170
3011, 3011, 0.031950
3021, 3021, 0.026620
3031, 3031, 0.022000
3041, 3041, 0.060410
3051, 3051, 0.036070
3061, 3061, 0.030400
3071, 3071, 0.066230
3081, 3081, 0.059630
3091, 3091, 0.064260
3101, 3101, 0.046170
3111, 3111, 0.053850
3121, 3121, 0.082690
3131, 3131, 0.049420
3141, 3141, 0.049750
3151, 3151, 0.037290
3161, 3161, 0.052630
3171, 3171, 0.053040
3181, 3181, 0.033490
3191, 3191, 0.036070
3201, 3201, 0.053500
3211, 3211, 0.020570
3221, 3221, 0.038120
3231, 3231, 0.046170
3241, 3241, 0.020420
3251, 3251, 0.029330
3261, 3261, 0.044830
3271, 3271, 0.054440
3281, 3281, 0.031700
3291, 3291, 0.044140
3301, 3301, 0.061790
3311, 3311, 0.029390
3321, 3321, 0.070320
3331, 3331, 0.061480
3341, 3341, 0.044760
3351, 3351, 0.048730
3361, 3361, 0.068480
3371, 3371, 0.037180
3381, 3381, 0.044180
3391, 3391, 0.068610
3401, 3401, 0.042180
3411, 3411, 0.041750
3421, 3421, 0.073010
3431, 3431, 0.068990
3441, 3441, 0.050440
3451, 3451, 0.078400
3461, 3461, 0.079920
3471, 3471, 0.050720
3481, 3481, 0.093840
3491, 3491, 0.078600
3501, 3501, 0.057180
3511, 3511, 0.044280
3521, 3521, 0.081520
3531, 3531, 0.066010
3541, 3541, 0.045630
3551, 3551, 0.102010
3561, 3561, 0.062550
3571, 3571, 0.056810
3581, 3581, 0.080970
3591, 3591, 0.095750
3601, 3601, 0.069390
3611, 3611, 0.091700
3621, 3621, 0.082490
3631, 3631, 0.061270
3641, 3641, 0.104070
3651, 3651, 0.102390
3661, 3661, 0.063690
3671, 3671, 0.066550
3681, 3681, 0.094480
3691, 3691, 0.067720
3701, 3701, 0.066240
3711, 3711, 0.093030
3721, 3721, 0.054890
3731, 3731, 0.054130
3741, 3741, 0.091750
3751, 3751, 0.104840
3761, 3761, 0.055560
3771, 3771, 0.095660
3781, 3781, 0.096270
3791, 3791, 0.066670
3801, 3801, 0.092460
3811, 3811, 0.101450
3821, 3821, 0.091450
3831, 3831, 0.067060
3841, 3841, 0.104020
3851, 3851, 0.070120
3861, 3861, 0.065320
3871, 3871, 0.095500
3881, 3881, 0.084130
3891, 3891, 0.064190
3901, 3901, 0.107380
3911, 3911, 0.109650
3921, 3921, 0.078240
3931, 3931, 0.127210
3941, 3941, 0.136620
3951, 3951, 0.101540
3961, 3961, 0.127880
3971, 3971, 0.106390
3981, 3981, 0.089500
3991, 3991, 0.092660
4001, 4001, 0.124090
4011, 4011, 0.082700
4021, 4021, 0.082160
4031, 4031, 0.129560
4041, 4041, 0.093120
4051, 4051, 0.101770
4061, 4061, 0.131100
4071, 4071, 0.138390
4081, 4081, 0.125820
4091, 4091, 0.175430
4101, 4101, 0.152220
4111, 4111, 0.176130
4121, 4121, 0.188470
4131, 4131, 0.198100
4141, 4141, 0.181360
4151, 4151, 0.172060
4161, 4161, 0.223680
4171, 4171, 0.211430
4181, 4181, 0.206270
4191, 4191, 0.252740
4201, 4201, 0.297000
4211, 4211, 0.273520
4221, 4221, 0.361000
4231, 4231, 0.413020
4241, 4241, 0.363670
4251, 4251, 0.339160
4261, 4261, 0.370710
4271, 4271, 0.326200
4281, 4281, 0.390890
4291, 4291, 0.381400
4301, 4301, 0.374070
4311, 4311, 0.385600
4321, 4321, 0.452800
4331, 4331, 0.401750
4341, 4341, 0.398150
4351, 4351, 0.481460
4361, 4361, 0.466180
4371, 4371, 0.475970
4381, 4381, 0.550330
4391, 4391, 0.517610
4401, 4401, 0.501700
4411, 4411, 0.571990
4421, 4421, 0.585620
4431, 4431, 0.561240
4441, 4441, 0.616190
4451, 4451, 0.629580
4461, 4461, 0.567070
4471, 4471, 0.609630
